Date,Close,High,Low,Open,Volume,EMA_9,EMA_21,EMA_50,EMA_200,Parkinson_Vol,Yang_Zhang_Vol,Vol_Percentile,Vol_Regime,RSI,MACD,MACD_Signal,MACD_Hist,ADX,Plus_DI,Minus_DI,BB_Upper,BB_Middle,BB_Lower,BB_Width,ATR,Stoch_K,Stoch_D,Ichimoku_TK,Ichimoku_KJ,Ichimoku_SA,Ichimoku_SB,VWAP,PSAR,AO,Williams_R,CCI,MFI,ROC,Efficiency_Ratio
2011-01-03,1422.5999755859375,1423.9000244140625,1413.699951171875,1415.5999755859375,28,1405.316701384691,1394.997084709144,1374.257443021965,1279.3914125364718,0.007247059248044225,0.18522616260989572,20.948616600790515,low,60.276190882289654,10.207542025922521,7.514126319755611,2.6934157061669097,15.742476915091405,30.351719210367524,21.09620963282948,1426.1400889065749,1395.4200012207032,1364.6999135348315,4.402988012067764,13.814278738839286,97.88265747362269,93.96604148585362,1398.7000122070312,1391.8499755859375,1369.5249938964844,1338.2999877929688,1188.8741683309918,1363.6719995117187,26.467934642118507,-2.1173425263773167,131.92406868646793,63.92927237186832,2.677731908043125,0.5835551324642693
2011-01-04,1378.5,1410.9000244140625,1375.800048828125,1409.5999755859375,122,1399.953361107753,1393.4973497355854,1374.4238178054172,1280.3775676356113,0.0078060011116192025,0.21393868419002723,42.91338582677165,medium,42.200121235938944,7.584529407585933,7.528206937321676,0.05632247026425663,17.093230899085924,22.51897469551664,35.02448198850354,1423.6887349097701,1393.5799987792968,1363.4712626488235,4.321063183577113,16.04998779296875,26.05862156031245,74.64709301131172,1398.7000122070312,1391.8499755859375,1362.0,1343.3499755859375,1188.8901210893441,1366.0811205078126,24.62323536592362,-73.94137843968754,-25.40739284829123,54.87152063333525,0.5910665091676994,0.06216704357460501
2011-01-05,1373.4000244140625,1384.0,1364.199951171875,1383.4000244140625,175,1394.6426937690148,1391.6703201609016,1374.383669044972,1281.3031642204717,0.007402907172896193,0.20477904701139096,37.254901960784316,medium,45.909400418456656,5.036193498528746,7.029804249563091,-1.9936107510343444,18.229125562571276,22.958312194408688,35.390215317947884,1422.3936447653732,1391.8349975585938,1361.2763503518145,4.391130738971507,15.742850167410714,17.752475700263822,47.23125157806633,1394.0499877929688,1396.7999877929688,1362.375,1345.949951171875,1188.9113330914881,1423.9000244140625,17.043527042164442,-82.24752429973617,-102.19827958537203,55.76429675254727,-0.3771907198580138,0.12869515189278183
2011-01-06,1371.4000244140625,1376.5,1368.9000244140625,1374.800048828125,158,1389.9941598980245,1389.827566002098,1374.2666633731717,1282.1996503915523,0.0067740495795677634,0.1931934687093263,26.5625,low,50.37092041873438,2.822697347574376,6.1883828691653475,-3.3656855215909713,18.055918873636475,24.68298916431805,29.756115279698975,1422.9359862926392,1391.2799987792969,1359.6240112659546,4.550627845022879,14.642848423549108,12.060409395108605,18.623835551894974,1394.0499877929688,1396.7999877929688,1366.4249877929688,1347.5,1188.9303146854468,1422.7060229492188,8.830292825137803,-87.9395906048914,-103.15062589734332,57.320011185972355,-1.01768138476633,0.13321823240883005
2011-01-07,1368.5,1377.199951171875,1355.5,1372.699951171875,225,1385.6953279184197,1387.8886963655436,1374.0405197114787,1283.058360337905,0.00697696077337279,0.1927087091902166,25.291828793774318,low,46.100391850785634,0.8249682464447687,5.115699944621232,-4.290731698176463,19.40153908451835,23.64491893442824,34.76638638013972,1423.3467343260613,1390.1,1356.8532656739385,4.783358654206376,15.28570556640625,19.005841169447454,16.272908754939976,1389.7000122070312,1393.2999877929688,1371.3499755859375,1347.5,1188.9565721639417,1421.535901513672,-1.0473525103400334,-80.99415883055255,-118.87288259976376,50.785217177569734,-1.4191004080676501,0.1029543869925665
2011-01-10,1373.699951171875,1374.0,1365.699951171875,1369.0,181,1383.2962525691107,1386.5988104388464,1374.0271640824747,1283.9602667143624,0.00678010377355191,0.19163086342593816,25.1937984496124,low,45.383385421840494,-0.33479455407905334,4.025601044881175,-4.3603955989602285,20.669923462795392,20.037777917184407,35.07780904195225,1423.5362150092917,1389.5699951171875,1355.6037752250834,4.888738244414909,15.149998256138392,26.608106251104253,19.22478560522012,1389.7000122070312,1393.2999877929688,1371.8499755859375,1347.5,1188.9781713788655,1418.8944654531251,-11.472648351332737,-73.39189374889574,-90.69401865273738,51.789981634915854,-0.9446277181284971,0.07598325342783398
2011-01-11,1384.0,1384.5,1373.9000244140625,1375.4000244140625,13,1383.4370020552885,1386.3625549444057,1374.4182556870835,1284.9556869460603,0.006709951444828274,0.18972251749526228,23.93822393822394,low,48.44905679429064,-0.4179689835384579,3.1368870391972488,-3.5548560227357067,21.158307326878365,23.359733615229192,34.62076126650916,1422.7545701298618,1388.9049926757812,1355.0554152217005,4.874282637413244,15.350001743861608,41.66665179455788,29.09353307170321,1389.7000122070312,1393.2999877929688,1379.1999816894531,1355.3499755859375,1188.9798048226446,1416.358686835,-14.935007970473407,-58.33334820544213,-37.26961310812623,49.906331460908916,0.2898550724637681,0.20784265854779413
2011-01-12,1385.699951171875,1385.5,1378.0,1382.5999755859375,204,1383.8895918786059,1386.302318237812,1374.8606751178597,1285.9581174358693,0.00658352394045421,0.18811826237182688,21.923076923076923,low,49.59465805007673,-0.34276231503326926,2.4409571683511455,-2.7837194833844148,21.455719361387256,23.4970479603504,34.14411017810835,1421.1630026551575,1388.009991455078,1354.8569802549987,4.77705656359497,15.564287458147321,44.15195963828652,37.475572561316234,1389.7000122070312,1393.2999877929688,1384.2250061035156,1357.9500122070312,1189.0057365253151,1413.9243393616,-13.721179558249105,-55.84804036171348,-22.045746551846875,52.599255616553926,0.2387099753713612,0.2860129996062656
2011-01-13,1386.9000244140625,1392.5,1371.4000244140625,1386.0999755859375,66,1384.4916783856972,1386.3566551629258,1375.332806462809,1286.9625145202294,0.006750948145550199,0.1886966938789109,22.22222222222222,low,52.65181618328003,-0.18420124984731956,1.9159254847114524,-2.100126734558772,19.09770282041215,25.94743301232949,28.131964418369876,1421.2165972935225,1388.0799926757813,1354.9433880580402,4.774451730820522,16.02142333984375,45.906452056188016,43.90835449634415,1389.7000122070312,1389.7000122070312,1385.5749816894531,1359.2999877929688,1189.0141477647733,1411.587365787136,-11.993237304687455,-54.093547943811984,-18.17207497979396,55.74835369290918,-1.3023005546328952,0.20893800192039105
2011-01-14,1360.4000244140625,1376.0,1356.699951171875,1375.0,252,1379.6733475913704,1383.9969614584836,1374.7472071667798,1287.6932360117105,0.006658505256623447,0.19245018471059588,26.33587786259542,low,42.866405004409415,-2.1718334494894407,1.098373697871274,-3.270207147360715,16.30520288723645,23.872051511859045,31.829402015812057,1422.11224625444,1387.5799926757813,1353.0477390971228,4.977335182250255,17.414289202008927,7.163775826160515,32.4073958402117,1383.2000122070312,1389.7000122070312,1385.5749816894531,1359.2999877929688,1189.0430829889617,1409.3438711556505,-11.824119657628671,-92.83622417383948,-119.21481853526024,57.304051331751026,-3.7293858950088175,0.6039796136504975
