feature,importance
dxy-close,386358
eurusd_close,384478
usdjpy_close,364291
vix_close,347793
futures_close,338827
xauusd-close,307905
flow_percentage,149290
total_holdings,79955
tips_10y_yield,64124
net_flow,62029
GPR,21776
interest,15544
core_cpi,10754
fed_funds,6374
un-rate,6294
nfp,4396
cpi,3439
pce,603
